"X","rbd","cluster","Avg..SIMCE.Lang","Avg..SIMCE.Math","Public","SEP.status","X..Priority.Students","Diff.D1.GPA","Diff.D2.GPA","Diff.D9.GPA","Diff.D10.GPA","simce_math_min_4_D1","simce_math_min_4_D10","simce_math_min_4_D2","simce_math_min_4_D3D8","simce_math_min_4_D9","asistencia_4_D1","asistencia_4_D10","asistencia_4_D2","asistencia_4_D3D8","asistencia_4_D9","asistencia","n_total","n_D1","n_D2","n_D3D8","n_D9","n_D10","simce_math_min_4","min_math_school","min_lang_school","min_math_school_GPA_D1","min_math_school_GPA_D10","min_math_school_GPA_D2","min_math_school_GPA_D3D8","min_math_school_GPA_D9","min_lang_school_GPA_D1","min_lang_school_GPA_D10","min_lang_school_GPA_D2","min_lang_school_GPA_D3D8","min_lang_school_GPA_D9","min_math","min_math_D1","min_math_D2","min_math_D9","min_math_D10","impute_all","impute_pred_min_all","impute_pred_min_decile","impute_no","impute_pred_min_school","impute_pred_min_school_GPA"
1095,9033,1,279,275,0,0,0.19964,-0.0912452765678556,0,0,0,196.66,267.46,193.15,207.5,245.54,0.714285714285714,1,1,0.944444444444444,1,0.934426229508197,61,7,6,36,6,6,193.15,193.15,159.21,196.66,267.46,193.15,207.5,245.54,159.21,231.46,174,171.21,271.93,100.93,105.04,106.56,100.93,112.29,263.585573770492,273.177353163194,273.220388025601,275,274.142967521155,274.179719921897
1096,9036,1,298,313,0,1,0.440197,0,0,0,-0.0781066066306803,211.52,293.59,258.42,212.67,295.19,1,0.9,1,0.950819672131147,1,0.961165048543689,103,11,11,61,10,10,211.52,211.52,154.08,211.52,293.59,258.42,212.67,295.19,154.08,285.87,230.28,167.95,288.49,100.93,105.04,106.56,100.93,112.29,304.76427184466,311.391838051634,311.477982813899,313,312.230460345545,312.852810753912
1097,9069,1,245,216,0,1,0.69869,-0.415090266929679,0,0,-0.00104379650145936,241.4,285.53,202.49,183.82,252.08,0.333333333333333,1,1,1,1,0.916666666666667,24,3,3,14,2,2,183.82,183.82,201.12,241.4,285.53,202.49,183.82,252.08,249.57,314.88,252.28,201.12,252.24,100.93,105.04,106.56,100.93,112.29,206.410833333333,210.019436234432,210.233676986421,216,214.327500286991,217.323959528397
1098,9070,1,276,278,1,1,0.388753,-0.199431644966909,-0.0185147792084397,0,0,226.69,325.18,183.48,208.28,295.17,0.6,1,0.833333333333333,0.914285714285714,1,0.892857142857143,56,5,6,35,5,5,183.48,183.48,171.17,226.69,325.18,183.48,208.28,295.17,270.05,353.7,265.5,171.17,272.18,100.93,105.04,106.56,100.93,112.29,259.028214285714,274.495762882177,274.580115552637,278,276.129437553642,276.898851962483
1099,9078,1,301,305,1,1,0.245968,0,0,0,0,246.9,309.86,292.4,253.82,294.28,1,1,1,1,1,1,34,4,4,20,3,3,246.9,246.9,213.54,246.9,309.86,292.4,253.82,294.28,213.54,335.75,250.56,246.52,318.33,100.93,105.04,106.56,100.93,112.29,305,305,305,305,305,305
1100,9084,1,261,281,1,1,0.30678,-0.0268388118567072,-0.0945417114987771,0,-0.0264368684964225,197.72,287.43,225.92,169.34,272.2,0.833333333333333,0.909090909090909,0.833333333333333,0.985915492957746,1,0.948717948717949,117,12,12,71,11,11,169.34,169.34,140.69,197.72,287.43,225.92,169.34,272.2,169.9,270.48,176.65,140.69,244.04,100.93,105.04,106.56,100.93,112.29,271.765641025641,278.310690204281,278.404831053144,281,279.332380008941,280.252649188542
1101,9085,1,228,234,1,1,0.403458,0,-0.0166246496209475,0,0,143.66,247.26,130.52,163.78,199.44,1,1,1,0.916666666666667,1,0.952380952380952,42,5,5,24,4,4,130.52,130.52,136.76,143.66,247.26,130.52,163.78,199.44,163.18,188.42,150.05,136.76,168,100.93,105.04,106.56,100.93,112.29,227.663333333333,233.736637842255,233.747780315751,234,233.79520014967,233.79520014967
1102,9087,1,229,265,1,1,0.642012,0,-0.133780812912422,0,0,220.79,300.26,207.58,250.41,301.7,1,1,0.75,1,1,0.96875,32,4,4,18,3,3,207.58,207.58,224.77,220.79,300.26,207.58,250.41,301.7,224.77,317.56,229.79,228.06,294.01,100.93,105.04,106.56,100.93,112.29,259.8728125,262.256322753182,262.350471000269,265,264.039788215321,264.039788215321
1103,9088,1,223,223,1,1,0.68533,-0.398985169906173,-0.0130217127469036,0,0,140.26,224.79,151.36,132.77,232.74,0.461538461538462,1,0.923076923076923,0.985714285714286,1,0.925,120,13,13,70,12,12,132.77,132.77,138.25,140.26,224.79,151.36,132.77,232.74,150.83,209.27,138.25,150.78,247.81,100.93,105.04,106.56,100.93,112.29,213.84475,217.551517982075,217.737108288609,223,218.972667055973,219.322634916917
1104,9089,1,266,266,1,1,0.277409,0,-0.270556632841269,0,0,196.26,289.5,213.85,204.02,231.31,0.9,1,0.625,1,1,0.947368421052632,76,8,8,46,7,7,196.26,196.26,137.08,196.26,289.5,213.85,204.02,231.31,137.08,259.37,153.32,167.05,207.91,100.93,105.04,106.56,100.93,112.29,257.312105263158,261.298864907041,261.459205311557,266,264.013829518489,264.514786483929
1105,9090,2,241,229,1,1,0.610738,-0.561978359071504,-0.872577522618556,-0.00498942431915284,-0.016483471327202,193.4,305.15,186.16,186.16,305.82,0.5,1,0,0.9,1,0.75,16,2,2,10,1,1,186.16,186.16,175.81,193.4,305.15,NA,186.16,305.82,195.83,351.11,NA,175.81,275.28,100.93,105.04,106.56,100.93,112.29,196.9825,205.862676419905,206.777172498063,229,221.260459575457,NA
