,s1,s2,s3,s4,s5,s5alt,s6
1,-0.00194007,0.250352876,0.00087437,0.243673132,-1.751292273,-0.101370687,0.554175357
2,-0.00194007,0.250352876,0.00087437,0.243358778,-0.198028471,0.169895752,0.198815015
3,-0.002073572,-0.001037336,0.000144484,-0.093839386,-0.00017981,-0.005830386,-0.265981534
4,0.005532376,0.253775955,-0.000809412,0.249641039,-1.742416562,-0.111131911,0.561750937
5,-0.002235231,0.251353585,0.000899443,0.242522732,-1.745174087,-0.100984263,0.552839829
6,-0.001816769,0.0301786,0.000619823,0.035399443,-1.754567675,-0.102627926,0.586651122
7,-0.001672139,0.007867563,0.005873132,0.000650254,NA,-0.15171893,0.054365547
8,-0.001672139,0.007867563,0.005873132,0.000909866,NA,-0.03135,0.06287544
