"","rbd","cluster","Avg. SIMCE Lang","Avg. SIMCE Math","Public","SEP status","% Priority Students","Diff D1 GPA","Diff D2 GPA","Diff D9 GPA","Diff D10 GPA"
"1","10010",1,255,241,1,1,0.601852,0.123078312210803,0.290231696748015,0.0340433339717638,0.0937325152604364
"2","10028",1,263,238,0,1,0.461165,0.134414052818601,0.0425321842315493,0.085662843003336,0.117280358435306
"3","10041",1,247,236,0,1,0.592437,-0.283392549449336,0.248078124267551,-0.004234247245539,0.00255990789884142
"4","10042",1,280,286,0,1,0.288703,-0.153149655068353,0.0416711868801141,0.0364941551368574,0.0445289333943193
"5","10063",1,272,265,0,1,0.505814,0.147496105019762,0.179975240009136,0.0102500800601851,0.0336004072918665
"6","10086",1,239,218,1,1,0.606178,-0.0875603621386655,-0.134249398004332,0.0694470971459112,-0.0378116712652068
"7","10090",2,261,281,1,1,0.66167,-0.511023019096295,-0.494273324260354,0.000400284993008038,0.0365379121751106
"8","10102",1,238,243,1,1,0.647668,0.171701231421912,-0.086179006553224,0.0618971142895086,0.0987831115296017
"9","10103",1,274,281,1,1,0.565465,-0.179728936093059,-0.102363748950498,0.0367833734474762,0.0496190089599968
"10","10108",1,262,222,1,1,0.632035,-0.179234253913143,-0.104762478005167,0.104087822663625,0.108506415782049
"11","10114",2,218,241,1,1,0.650602,-0.0948111252508032,-0.0557029177613246,0.0232788401117459,0.015709287539703
"12","10117",1,224,226,1,1,0.744493,0.0867623761586098,0.133453541287404,0.205311544831714,0.116007031225283
"13","10119",1,247,243,1,1,0.653179,-0.272236119037498,0.0902994454639657,0.0505404500209419,0.03058122803118
"14","10122",1,208,210,1,1,0.787013,-0.336956916839405,0.09886622671431,0.0897601805998267,-0.119209229159278
"15","10140",2,272,265,0,1,0.339552,-0.2275808791957,-0.163516354124893,-0.193162782394024,0.116179528113936
"16","10142",2,235,229,0,1,0.512953,-0.315608570882592,-0.450034089661836,0.0258081593645942,0.021423896034766
"17","10160",1,280,284,0,1,0.462036,-0.0298107658607967,0.0506493359496654,0.0153433345480259,0.0209085849861745
"18","10162",1,252,268,0,1,0.522023,0.150727837362974,0.0812222205006925,0.0402517037976913,0.0394261270367037
"19","10186",1,234,239,0,1,0.633663,-0.0015162566865059,0.0852129632944242,0.0117373132894151,0.0334126772232775
"20","10197",2,257,238,1,1,0.641921,-0.0865303104761346,0.100815504452427,0.0417206454739981,0.0408326595724735
"21","10199",1,247,227,1,1,0.351548,-0.0354902968723888,0.05979371046694,-0.128072714177217,-0.0508326114742861
"22","10219",1,231,225,0,1,0.696,0.0392461016894793,0.0116039450873954,0.159304377577015,0.0179480331662505
"23","10224",1,279,284,0,1,0.31746,0.0948548569030271,0.0497955936016786,0.0651709956230396,0.0368707379461064
"24","10241",2,236,236,1,1,0.59633,-0.0504235101734188,-0.246656579638681,-0.117202856686796,0.125787423365671
"25","10257",2,235,233,1,1,0.597052,0.0723693721695294,-0.623906853341482,0.0534736507707674,0.0167465761031258
