GPA Decile,Told,Notification,Preparation,Grades
D1,-0.02***,-0.01***,-0.02***,0.05***
,(0.00),(0.00),(0.00),(0.00)
D10,0.01***,0.00,0.00,-0.03***
,(0.00),(0.00),(0.00),(0.00)
Baseline,0.95***,0.78***,0.82***,0.33***
,(0.00),(0.00),(0.00),(0.00)
